,id,age,gender,hand,phase,block,modality,ntrial,v_pred,v_leading,v_trailing,a_pred,a_leading,a_trailing,catch,target,resp,RT,correct,diff,invalid_catch,block_mod,pred,ign_pred,ign_mod,relevant_expected,irrelevant_expected,v_learned,a_learned,att_learned,ign_learned,change_r,change,response
0,S01,22,Hombre,izquierda,1,0,auditory,3,EXP,0.0,135.0,EXP,1600.0,160.0,0.0,0.0,normal,1.025461899999982,1,20.0,1.0,1,EXP,EXP,visual,1,1,1,1,1,1,0.0,0.0,0
1,S01,22,Hombre,izquierda,1,0,auditory,4,EXP,90.0,45.0,EXP,1600.0,160.0,0.0,1.0,diferente,1.1433729000000312,1,20.0,1.0,1,EXP,EXP,visual,1,1,1,1,1,1,20.0,1.0,1
2,S01,22,Hombre,izquierda,1,0,auditory,5,EXP,90.0,45.0,EXP,1000.0,100.0,0.0,0.0,normal,1.179181399999834,1,20.0,1.0,1,EXP,EXP,visual,1,1,1,0,0,1,0.0,0.0,0
3,S01,22,Hombre,izquierda,1,0,auditory,6,EXP,90.0,45.0,EXP,1600.0,160.0,0.0,0.0,normal,0.9471046000001024,1,20.0,1.0,1,EXP,EXP,visual,1,1,1,1,1,1,0.0,0.0,0
4,S01,22,Hombre,izquierda,1,0,auditory,7,EXP,90.0,45.0,EXP,1000.0,100.0,0.0,1.0,diferente,1.1106541999997717,1,20.0,1.0,1,EXP,EXP,visual,1,1,1,0,0,1,20.0,1.0,1
5,S01,22,Hombre,izquierda,1,0,auditory,8,EXP,0.0,135.0,EXP,1600.0,160.0,0.0,0.0,normal,0.5867994000000181,1,14.0,1.0,1,EXP,EXP,visual,1,1,1,1,1,1,0.0,0.0,0
6,S01,22,Hombre,izquierda,1,0,auditory,9,EXP,90.0,45.0,EXP,1000.0,100.0,0.0,0.0,normal,1.2174926999996387,1,14.0,1.0,1,EXP,EXP,visual,1,1,1,0,0,1,0.0,0.0,0
7,S01,22,Hombre,izquierda,1,0,auditory,10,EXP,0.0,135.0,VP,1000.0,160.0,0.0,1.0,diferente,0.4352601000000504,1,14.0,1.0,1,VP,EXP,visual,0,1,1,0,0,1,14.0,0.7,1
8,S01,22,Hombre,izquierda,1,0,auditory,11,EXP,0.0,135.0,EXP,1600.0,160.0,0.0,0.0,normal,0.4660468000001856,1,14.0,1.0,1,EXP,EXP,visual,1,1,1,1,1,1,0.0,0.0,0
9,S01,22,Hombre,izquierda,1,0,auditory,12,VP,90.0,135.0,VP,1000.0,160.0,0.0,1.0,diferente,0.6293631000003188,1,14.0,1.0,1,VP,VP,visual,0,0,1,0,0,1,14.0,0.7,1
10,S01,22,Hombre,izquierda,1,0,auditory,13,EXP,0.0,135.0,VP,1000.0,160.0,0.0,0.0,diferente,0.8833024999998997,0,14.0,1.0,1,VP,EXP,visual,0,1,1,0,0,1,0.0,0.0,1
11,S01,22,Hombre,izquierda,1,0,auditory,14,VP,0.0,45.0,EXP,1600.0,160.0,0.0,0.0,normal,0.4010930000004009,1,14.0,1.0,1,EXP,VP,visual,1,0,1,1,1,1,0.0,0.0,0
12,S01,22,Hombre,izquierda,1,0,auditory,16,EXP,90.0,45.0,EXP,1000.0,100.0,0.0,1.0,diferente,0.4209774999999354,1,14.0,1.0,1,EXP,EXP,visual,1,1,1,0,0,1,14.0,0.7,1
13,S01,22,Hombre,izquierda,1,0,auditory,18,VP,0.0,45.0,VP,1000.0,160.0,0.0,1.0,diferente,1.1548812999999427,1,14.0,1.0,1,VP,VP,visual,0,0,1,0,0,1,14.0,0.7,1
14,S01,22,Hombre,izquierda,1,0,auditory,19,EXP,90.0,45.0,EXP,1000.0,100.0,0.0,0.0,normal,0.4215296999996099,1,14.0,1.0,1,EXP,EXP,visual,1,1,1,0,0,1,0.0,0.0,0
15,S01,22,Hombre,izquierda,1,0,auditory,20,EXP,0.0,135.0,EXP,1000.0,100.0,0.0,0.0,normal,0.3901735999997981,1,14.0,1.0,1,EXP,EXP,visual,1,1,1,0,0,1,0.0,0.0,0
16,S01,22,Hombre,izquierda,1,0,auditory,22,VP,90.0,135.0,EXP,1600.0,160.0,0.0,1.0,diferente,0.3799152999999933,1,14.0,1.0,1,EXP,VP,visual,1,0,1,1,1,1,14.0,0.7,1
17,S01,22,Hombre,izquierda,1,0,auditory,25,VP,90.0,135.0,EXP,1000.0,100.0,0.0,1.0,diferente,0.4147925000002033,1,14.0,1.0,1,EXP,VP,visual,1,0,1,0,0,1,14.0,0.7,1
18,S01,22,Hombre,izquierda,1,0,auditory,26,VP,90.0,135.0,VP,1600.0,100.0,0.0,1.0,diferente,0.8309656000001269,1,8.0,1.0,1,VP,VP,visual,0,0,1,1,1,1,8.0,0.4,1
19,S01,22,Hombre,izquierda,1,0,auditory,27,EXP,0.0,135.0,EXP,1600.0,160.0,0.0,0.0,normal,0.9746626999999536,1,8.0,1.0,1,EXP,EXP,visual,1,1,1,1,1,1,0.0,0.0,0
20,S01,22,Hombre,izquierda,1,0,auditory,29,EXP,90.0,45.0,EXP,1600.0,160.0,0.0,0.0,normal,0.6983338000000003,1,8.0,1.0,1,EXP,EXP,visual,1,1,1,1,1,1,0.0,0.0,0
21,S01,22,Hombre,izquierda,1,0,auditory,30,EXP,0.0,135.0,EXP,1000.0,100.0,0.0,0.0,normal,0.8120418999997128,1,8.0,1.0,1,EXP,EXP,visual,1,1,1,0,0,1,0.0,0.0,0
22,S01,22,Hombre,izquierda,1,0,auditory,32,EXP,90.0,45.0,VP,1600.0,100.0,0.0,0.0,normal,0.5496778000001541,1,8.0,1.0,1,VP,EXP,visual,0,1,1,1,1,1,0.0,0.0,0
23,S01,22,Hombre,izquierda,1,0,auditory,33,EXP,90.0,45.0,EXP,1000.0,100.0,0.0,0.0,normal,0.6609843000001092,1,8.0,1.0,1,EXP,EXP,visual,1,1,1,0,0,1,0.0,0.0,0
24,S01,22,Hombre,izquierda,1,0,auditory,34,EXP,90.0,45.0,EXP,1600.0,160.0,0.0,0.0,normal,0.460061400000086,1,8.0,1.0,1,EXP,EXP,visual,1,1,1,1,1,1,0.0,0.0,0
25,S01,22,Hombre,izquierda,1,0,auditory,35,VP,90.0,135.0,VP,1600.0,100.0,0.0,0.0,normal,0.5912508000001253,1,8.0,1.0,1,VP,VP,visual,0,0,1,1,1,1,0.0,0.0,0
26,S01,22,Hombre,izquierda,1,0,auditory,36,EXP,90.0,45.0,EXP,1000.0,100.0,0.0,1.0,diferente,0.4276393000000098,1,8.0,1.0,1,EXP,EXP,visual,1,1,1,0,0,1,8.0,0.4,1
27,S01,22,Hombre,izquierda,1,0,auditory,37,EXP,0.0,135.0,EXP,1000.0,100.0,0.0,1.0,diferente,1.1455614999999852,1,8.0,1.0,1,EXP,EXP,visual,1,1,1,0,0,1,8.0,0.4,1
