,id,age,gender,hand,phase,block,modality,ntrial,v_pred,v_leading,v_trailing,a_pred,a_leading,a_trailing,catch,target,resp,RT,correct,diff
880,S11,19,Mujer,derecha,2,0,visual,0,EXP,90.0,135.0,,,,,,frecuente,2.705778200001077,1,
881,S11,19,Mujer,derecha,2,0,visual,1,VP,0.0,135.0,,,,,,frecuente,1.3658912999999302,0,
882,S11,19,Mujer,derecha,2,0,visual,2,VP,90.0,45.0,,,,,,frecuente,0.3875270999997156,0,
883,S11,19,Mujer,derecha,2,0,visual,3,EXP,0.0,45.0,,,,,,frecuente,0.5915379999987636,1,
884,S11,19,Mujer,derecha,2,0,visual,4,EXP,0.0,45.0,,,,,,frecuente,0.3945643999995809,1,
885,S11,19,Mujer,derecha,2,0,visual,5,VP,90.0,45.0,,,,,,frecuente,0.1245494999984657,0,
886,S11,19,Mujer,derecha,2,0,visual,6,EXP,90.0,135.0,,,,,,frecuente,0.3746893999996246,1,
887,S11,19,Mujer,derecha,2,0,visual,7,VP,0.0,135.0,,,,,,frecuente,0.7289190999999846,0,
888,S11,19,Mujer,derecha,2,1,auditory,0,,,,EXP,1000.0,160.0,,,frecuente,1.3533778000000891,1,
889,S11,19,Mujer,derecha,2,1,auditory,1,,,,VP,1000.0,100.0,,,frecuente,0.3021926000001258,0,
890,S11,19,Mujer,derecha,2,1,auditory,2,,,,VP,1600.0,160.0,,,frecuente,0.3731941999994888,0,
891,S11,19,Mujer,derecha,2,1,auditory,3,,,,EXP,1600.0,100.0,,,frecuente,0.328211599999122,1,
892,S11,19,Mujer,derecha,2,1,auditory,4,,,,EXP,1600.0,100.0,,,frecuente,0.299370299999282,1,
893,S11,19,Mujer,derecha,2,1,auditory,5,,,,EXP,1000.0,160.0,,,frecuente,0.407729599999584,1,
894,S11,19,Mujer,derecha,2,1,auditory,6,,,,VP,1600.0,160.0,,,frecuente,0.425975300000573,0,
895,S11,19,Mujer,derecha,2,1,auditory,7,,,,VP,1000.0,100.0,,,frecuente,0.7537216000000626,0,
1776,S32,20,Mujer,derecha,2,0,visual,0,VP,0.0,45.0,,,,,,frecuente,2.261585099999138,0,
1777,S32,20,Mujer,derecha,2,0,visual,1,EXP,90.0,45.0,,,,,,frecuente,0.3734201999996003,1,
1778,S32,20,Mujer,derecha,2,0,visual,2,EXP,90.0,45.0,,,,,,frecuente,0.3689829999984795,1,
1779,S32,20,Mujer,derecha,2,0,visual,3,EXP,0.0,135.0,,,,,,frecuente,0.4281016999993881,1,
1780,S32,20,Mujer,derecha,2,0,visual,4,VP,90.0,135.0,,,,,,frecuente,0.0657117999999172,0,
1781,S32,20,Mujer,derecha,2,0,visual,5,VP,90.0,135.0,,,,,,frecuente,0.1521329999995941,0,
1782,S32,20,Mujer,derecha,2,0,visual,6,VP,0.0,45.0,,,,,,frecuente,0.4735921999999846,0,
1783,S32,20,Mujer,derecha,2,0,visual,7,EXP,0.0,135.0,,,,,,raro,0.37337430000116,0,
